name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,phone_number,secondary_filters_name,longitude,latitude,tipo_centro
Facultat de Dret - UB,Av Diagonal,684.0,21.0,Pedralbes,4.0,Les Corts,8034.0,934024346,Universitats,41.38723971871468,2.1210972500110508,reglat
Metàfora Centre d'Estudis d'Art-Teràpia,Papin,29.0,18.0,Sants,3.0,Sants-Montjuïc,8028.0,933300089,Universitats,41.37829519044735,2.132873852906906,reglat
Facultat d'Informació i Mitjans Audiovisuals - UB,Melcior de Palau,140.0,18.0,Sants,3.0,Sants-Montjuïc,8014.0,934035770,Universitats,41.38128597939545,2.1387878130180185,reglat
Institut Escola Trinitat Nova,Carrer de la Pedrosa,16.0,53.0,la Trinitat Nova,8.0,Nou Barris,8033.0,933592500,Ensenyament infantil (3-6 anys),41.4487332776949,2.184583502268608,reglat
Institut Escola Trinitat Nova,Carrer de la Pedrosa,16.0,53.0,la Trinitat Nova,8.0,Nou Barris,8033.0,933592500,Educació primària,41.4487332776949,2.184583502268608,reglat
Institut Escola Trinitat Nova,Carrer de la Pedrosa,16.0,53.0,la Trinitat Nova,8.0,Nou Barris,8033.0,933592500,Educació secundària,41.4487332776949,2.184583502268608,reglat
Centre d'Innovació del Transport,C Jordi Girona,1.0,21.0,Pedralbes,4.0,Les Corts,8034.0,934137667,Universitats,41.38733372682784,2.112437167186739,reglat
Escola de Música Tarantel·la,C Violant Hongria Rna Aragó,174.0,18.0,Sants,3.0,Sants-Montjuïc,8014.0,933304191,Música,41.38073550514029,2.135577672628968,reglat
Centre Educatiu Roca,Av Meridiana,263.0,61.0,la Sagrera,9.0,Sant Andreu,8027.0,932430770,Educació secundària,41.42184965206082,2.186428239062364,reglat
Centre Educatiu Roca,Av Meridiana,263.0,61.0,la Sagrera,9.0,Sant Andreu,8027.0,932430770,Formació professional,41.42184965206082,2.186428239062364,reglat
Escola per a Infants i Adolescents,Via Augusta,364.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8017.0,933636503,Educació primària,41.40196697142778,2.121523780191905,reglat
Escola per a Infants i Adolescents,Via Augusta,364.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8017.0,933636503,Educació secundària,41.40196697142778,2.121523780191905,reglat
Fundació Institut de Recerca Biomèdica,C Baldiri Reixac,10.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,934020250,Universitats,41.38188173843909,2.116506436518207,reglat
Centre Profesional de Música Liceu,Pl Urquinaona,11.0,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,8010.0,933184536,Música,41.388617744369554,2.173145777606978,reglat
Escola de Música Marshall,Carrer de Saragossa,27.0,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,8006.0,613017667,Música,41.401437177199085,2.150007289734474,reglat
Centre de Recerca de Biodiversitat Vegetal,Av Diagonal,645.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,93 402 14 65,Universitats,41.38537847387165,2.1170443890573285,reglat
Escola per a Infants i Adolescents,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279972,Ensenyament infantil (3-6 anys),41.38914826078086,2.151784715500113,reglat
Escola per a Infants i Adolescents,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279972,Educació primària,41.38914826078086,2.151784715500113,reglat
Escola per a Infants i Adolescents,C Villarroel,170.0,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,8036.0,932279972,Educació secundària,41.38914826078086,2.151784715500113,reglat
Centre Educatiu Nou Patufet,C Bruniquer,25.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,937074967,Ensenyament infantil (3-6 anys),41.40476898599986,2.160721107653559,reglat
Centre Educatiu Nou Patufet,C Bruniquer,25.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,937074967,Educació primària,41.40476898599986,2.160721107653559,reglat
Centre Educatiu Nou Patufet,C Bruniquer,25.0,31.0,la Vila de Gràcia,6.0,Gràcia,8012.0,937074967,Educació secundària,41.40476898599986,2.160721107653559,reglat
Escola de Música Esclat *Les Corts,Lluçà,3.0,19.0,les Corts,4.0,Les Corts,8028.0,934904151,Música,41.38130651966432,2.131046330671979,reglat
Centre Educatiu Reina Elisenda,C Olot,18.0,30.0,la Salut,6.0,Gràcia,8024.0,932844080,Ensenyament infantil (0-3 anys),41.413484039930026,2.153373576136896,reglat
Centre Educatiu Reina Elisenda,C Olot,18.0,30.0,la Salut,6.0,Gràcia,8024.0,932844080,Ensenyament infantil (3-6 anys),41.413484039930026,2.153373576136896,reglat
Centre Educatiu Reina Elisenda,C Olot,18.0,30.0,la Salut,6.0,Gràcia,8024.0,932844080,Educació primària,41.413484039930026,2.153373576136896,reglat
Escola Poeta Foix,Carrer de Balmes,298.0,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,8006.0,932018152,Ensenyament infantil (3-6 anys),41.40230396822659,2.1458792280425274,reglat
Escola Poeta Foix,Carrer de Balmes,298.0,27.0,el Putxet i el Farró,5.0,Sarrià-Sant Gervasi,8006.0,932018152,Educació primària,41.40230396822659,2.1458792280425274,reglat
Centre Educatiu Sadako,C Collserola,42.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8035.0,932113716,Ensenyament infantil (3-6 anys),41.41796975213169,2.134125348349872,reglat
Centre Educatiu Sadako,C Collserola,42.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8035.0,932113716,Educació primària,41.41796975213169,2.134125348349872,reglat
Centre Educatiu Sadako,C Collserola,42.0,28.0,Vallcarca i els Penitents,6.0,Gràcia,8035.0,932113716,Educació secundària,41.41796975213169,2.134125348349872,reglat
Centre Educatiu Sagrada Família *Arquímedes,C Arquímedes,60.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933458895,Ensenyament infantil (3-6 anys),41.438838508624976,2.1862576644029867,reglat
Centre Educatiu Sagrada Família *Arquímedes,C Arquímedes,60.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933458895,Educació primària,41.438838508624976,2.1862576644029867,reglat
Centre Educatiu Sagrada Família *Arquímedes,C Arquímedes,60.0,60.0,Sant Andreu,9.0,Sant Andreu,8030.0,933458895,Educació secundària,41.438838508624976,2.1862576644029867,reglat
Escola Sagrada Família *Sardenya,C Sardenya,343.0,32.0,el Camp d'en Grassot i Gràcia Nova,6.0,Gràcia,8025.0,932074311,Ensenyament infantil (3-6 anys),41.40474390341396,2.171097339253699,reglat
Escola Sagrada Família *Sardenya,C Sardenya,343.0,32.0,el Camp d'en Grassot i Gràcia Nova,6.0,Gràcia,8025.0,932074311,Educació primària,41.40474390341396,2.171097339253699,reglat
Institut Salvador Seguí,C Santander,7.0,73.0,la Verneda i la Pau,10.0,Sant Martí,8020.0,933142041,Formació professional,41.42309401778554,2.196790431984144,reglat
Escola de Música Kostka,Rier Can Toda,29.0,30.0,la Salut,6.0,Gràcia,8024.0,932103605,Música,41.41435733730391,2.157239969018296,reglat
Institut Viladomat,C Consell de Cent,148.0,9.0,la Nova Esquerra de l'Eixample,2.0,Eixample,8015.0,938846029,Educació secundària,41.38235487122607,2.154257403521576,reglat
Celltec UB,Av Diagonal,645.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,934021550,Universitats,41.385512630617775,2.1170608728931914,reglat
Centre de Biotecnología,C Martí i Franquès,1.0,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,934021220,Universitats,41.38476479287836,2.117283075395298,reglat
Escola Congrés-Indians,C Açores,1.0,61.0,la Sagrera,9.0,Sant Andreu,8027.0,933400975,Ensenyament infantil (3-6 anys),41.42524649826285,2.1893636167955752,reglat
Escola Congrés-Indians,C Açores,1.0,61.0,la Sagrera,9.0,Sant Andreu,8027.0,933400975,Educació primària,41.42524649826285,2.1893636167955752,reglat
Institut Universitari Barraquer,C Laforja,88.0,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,8021.0,934146798,Universitats,41.39738463256767,2.1462760581798173,reglat
Centre Educatiu Sagrat Cor-Sarrià,Carrer del Sagrat Cor,25.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030200,Ensenyament infantil (3-6 anys),41.40063715462606,2.1190684236753623,reglat
Centre Educatiu Sagrat Cor-Sarrià,Carrer del Sagrat Cor,25.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030200,Educació primària,41.40063715462606,2.1190684236753623,reglat
Centre Educatiu Sagrat Cor-Sarrià,Carrer del Sagrat Cor,25.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030200,Educació secundària,41.40063715462606,2.1190684236753623,reglat
Centre Educatiu Sagrat Cor-Sarrià,Carrer del Sagrat Cor,25.0,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,8034.0,932030200,Formació professional,41.40063715462606,2.1190684236753623,reglat
SAE Centre privat d'estudis artístics superiors de Música,Carrer del Perú,176.0,71.0,Provençals del Poblenou,10.0,Sant Martí,8020.0,932387258,Música,41.41213430348236,2.201225737692777,reglat
Institut Escola Turó de  Roquetes,C Alcántara,22.0,50.0,les Roquetes,8.0,Nou Barris,8042.0,933546504,Ensenyament infantil (3-6 anys),41.44647404453238,2.1728361106817555,reglat
Institut Escola Turó de  Roquetes,C Alcántara,22.0,50.0,les Roquetes,8.0,Nou Barris,8042.0,933546504,Educació primària,41.44647404453238,2.1728361106817555,reglat
Institut Escola Turó de  Roquetes,C Alcántara,22.0,50.0,les Roquetes,8.0,Nou Barris,8042.0,933546504,Educació secundària,41.44647404453238,2.1728361106817555,reglat
