district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
2,Eixample,3,1,64,2,3,1,6,3,8.0,2.1565663,41.3820816,0.4000330139333083,0.8878823968558166
5,Sarrià - Sant Gervasi,5,2,58,1,5,1,0,5,17.0,2.140351,41.405319,1.0,0.9710576839202464
7,Horta - Guinardó,2,2,60,1,2,1,0,5,4.0,2.1531397,41.4254558,1.0,0.7287387223780619
2,Eixample,3,2,78,3,1,1,0,3,3.0,2.1773727,41.4064214,0.40000096802695956,0.8878823968558166
1,Ciutat Vella,3,1,47,1,3,1,0,5,7.0,2.1722853,41.3840826,1.0,0.8158578144146168
5,Sarrià - Sant Gervasi,5,2,64,2,1,1,6,4,3.0,2.1208923,41.3983698,1.0,0.9710576839202464
2,Eixample,5,2,70,3,1,1,0,3,3.0,2.1683995,41.4014972,0.8000073631193395,0.8878823968558166
2,Eixample,5,1,53,1,2,1,0,4,5.0,2.1649601,41.3865166,1.0,0.8878823968558166
8,Nou Barris,1,2,72,3,1,2,0,2,1.0,2.1807152,41.4664319,4.422304773609477e-06,0.5367971980868633
9,Sant Andreu,2,2,51,1,4,1,0,5,9.0,2.19242,41.439153,1.0,0.6710875151380777
1,Ciutat Vella,2,1,30,2,1,2,0,3,1.0,2.1799414,41.3843552,0.3624023082085587,0.8158578144146168
8,Nou Barris,1,2,84,3,1,2,0,3,0.0,2.1827887,41.4419533,1.729677195736496e-07,0.5367971980868633
2,Eixample,4,2,72,3,3,1,0,3,5.0,2.1544538,41.3926987,0.6000044521123268,0.8878823968558166
6,Gràcia,3,1,74,3,2,1,0,3,2.0,2.1556072,41.4101006,0.40000268258787025,0.8773520558287237
2,Eixample,4,2,68,3,1,1,0,5,3.0,2.1536577,41.3899164,1.0,0.8878823968558166
2,Eixample,3,1,55,3,2,2,0,2,1.0,2.1695553,41.4063827,0.40031348047678406,0.8878823968558166
7,Horta - Guinardó,2,1,43,1,1,1,0,4,2.0,2.1606786,41.4325808,1.0,0.7287387223780619
4,Les Corts,4,2,51,1,4,1,1,5,13.0,2.13746,41.3859,1.0,0.9253424656411553
6,Gràcia,4,2,47,1,2,1,0,4,10.0,2.1574761,41.4092276,1.0,0.8773520558287237
8,Nou Barris,1,2,65,3,2,1,0,2,5.0,2.1837952,41.4454829,2.5684812003357772e-05,0.5367971980868633
8,Nou Barris,1,2,63,3,3,1,0,2,4.0,2.1683081,41.4437556,4.2379323873297825e-05,0.5367971980868633
8,Nou Barris,1,1,73,3,3,1,3,2,4.0,2.1762709,41.4314422,3.4331054085140316e-06,0.5367971980868633
8,Nou Barris,1,2,60,1,3,1,0,2,4.0,2.1726213,41.4469075,8.977252107261447e-05,0.5367971980868633
6,Gràcia,3,1,79,3,2,2,0,1,2.0,2.15044,41.4189837,0.40000074730674684,0.8773520558287237
2,Eixample,5,1,68,3,3,1,0,2,7.0,2.1705448,41.3968298,0.8000121461770716,0.8878823968558166
8,Nou Barris,1,2,77,3,3,1,0,3,4.0,2.1745568,41.4277128,1.2315656206906897e-06,0.5367971980868633
5,Sarrià - Sant Gervasi,5,2,85,3,2,1,0,2,3.0,2.1311358,41.3925243,0.8000001634617874,0.9710576839202464
6,Gràcia,4,2,74,3,1,1,0,5,4.0,2.1536075,41.4088333,1.0,0.8773520558287237
2,Eixample,3,1,68,3,2,1,0,4,6.0,2.1464292,41.3796794,1.0,0.8878823968558166
9,Sant Andreu,1,1,48,1,4,1,0,2,5.0,2.2000551,41.446353,0.0018040774419458086,0.6710875151380777
10,Sant Martí,4,2,58,1,3,1,0,5,8.0,2.1947018,41.3914526,1.0,0.7909123076143924
5,Sarrià - Sant Gervasi,5,2,74,3,1,1,0,5,3.0,2.1321091,41.4023188,1.0,0.9710576839202464
5,Sarrià - Sant Gervasi,5,2,75,3,2,2,0,5,5.0,2.132392,41.3939897,1.0,0.9710576839202464
8,Nou Barris,1,2,28,1,4,1,1,5,5.0,2.1771648,41.4608062,1.0,0.5367971980868633
2,Eixample,3,1,60,1,2,1,0,5,6.0,2.1963356,41.4135169,1.0,0.8878823968558166
6,Gràcia,4,2,91,3,1,1,0,5,2.0,2.1503563,41.4047718,1.0,0.8773520558287237
2,Eixample,4,2,63,1,2,1,0,5,4.0,2.1557075,41.3927174,1.0,0.8878823968558166
6,Gràcia,3,2,64,2,2,1,0,3,4.0,2.1668445,41.4064915,0.4000330139333083,0.8773520558287237
6,Gràcia,3,1,21,1,3,1,0,5,8.0,2.1385148,41.4136897,1.0,0.8773520558287237
8,Nou Barris,1,2,64,3,2,1,0,2,3.0,2.1746563,41.4467602,3.2994061606257764e-05,0.5367971980868633
2,Eixample,3,1,73,3,2,1,0,5,2.0,2.1750669,41.399626,1.0,0.8878823968558166
8,Nou Barris,1,2,84,3,2,2,0,1,0.0,2.1733534,41.4406905,1.729677195736496e-07,0.5367971980868633
9,Sant Andreu,2,2,23,1,4,1,0,5,9.0,2.191661,41.4231609,1.0,0.6710875151380777
2,Eixample,3,2,73,3,1,1,6,5,2.0,2.1795954,41.3959212,1.0,0.8878823968558166
3,Sants - Montjuïc,2,1,68,3,2,1,0,5,6.0,2.124037,41.3749236,1.0,0.7650847388191471
5,Sarrià - Sant Gervasi,5,2,63,1,2,1,0,3,4.0,2.1462226,41.4031358,0.8000424190672776,0.9710576839202464
10,Sant Martí,4,1,70,3,2,1,0,2,2.0,2.2046672,41.4030412,0.6000073531834884,0.7909123076143924
10,Sant Martí,2,2,60,3,2,1,0,4,4.0,2.190938,41.4070759,1.0,0.7909123076143924
6,Gràcia,3,2,64,3,2,1,0,3,8.0,2.147739,41.4177332,0.4000330139333083,0.8773520558287237
8,Nou Barris,1,2,48,4,2,1,0,3,2.0,2.1698776,41.431042,0.0018040774419458086,0.5367971980868633
3,Sants - Montjuïc,2,1,76,3,2,1,0,5,5.0,2.1467291,41.370697,1.0,0.7650847388191471
8,Nou Barris,1,2,83,3,1,2,0,5,0.0,2.1649342,41.4382447,1.0,0.5367971980868633
10,Sant Martí,4,1,64,3,2,1,0,3,3.0,2.2014384,41.4036694,0.6000330238691594,0.7909123076143924
8,Nou Barris,1,1,46,1,4,1,0,5,6.0,2.1625109,41.4432382,1.0,0.5367971980868633
8,Nou Barris,1,2,49,2,4,1,0,4,7.0,2.1839838,41.4492599,1.0,0.5367971980868633
8,Nou Barris,1,2,55,4,2,1,0,2,3.0,2.1766424,41.4301597,0.00031346060508200625,0.5367971980868633
8,Nou Barris,1,2,45,1,2,1,0,4,2.0,2.1725964,41.447086,1.0,0.5367971980868633
10,Sant Martí,4,2,60,1,2,1,0,4,4.0,2.2122525,41.4100941,1.0,0.7909123076143924
2,Eixample,3,1,65,1,4,1,0,5,6.0,2.1592689,41.3783517,1.0,0.8878823968558166
7,Horta - Guinardó,2,2,70,3,2,1,0,2,3.0,2.1697136,41.4270969,0.2000073333117864,0.7287387223780619
2,Eixample,3,2,68,3,2,1,0,5,3.0,2.1759067,41.4091171,1.0,0.8878823968558166
10,Sant Martí,2,1,63,1,2,1,0,2,4.0,2.2021268,41.4198854,0.20004238925972442,0.7909123076143924
3,Sants - Montjuïc,2,2,52,1,5,1,0,5,9.0,2.137443,41.3776357,1.0,0.7650847388191471
8,Nou Barris,1,2,50,1,4,1,0,5,10.0,2.1640411,41.4424117,1.0,0.5367971980868633
5,Sarrià - Sant Gervasi,5,2,61,1,3,1,0,5,9.0,2.1204387,41.3972596,1.0,0.9710576839202464
3,Sants - Montjuïc,2,1,58,1,3,1,0,2,5.0,2.1291901,41.3723012,0.2001480520288572,0.7650847388191471
8,Nou Barris,1,2,56,1,2,1,6,3,3.0,2.1725782,41.4293188,0.00024411237568748307,0.5367971980868633
3,Sants - Montjuïc,2,2,60,3,3,1,98,3,0.0,2.1346966,41.3568452,0.20008978245692374,0.7650847388191471
3,Sants - Montjuïc,2,1,67,3,3,1,5,2,5.0,2.1336133,41.3789303,0.20001556901455647,0.7650847388191471
2,Eixample,5,1,70,3,2,1,0,5,5.0,2.1577269,41.3949729,1.0,0.8878823968558166
8,Nou Barris,1,2,61,3,1,1,0,5,1.0,2.1746954,41.4365544,1.0,0.5367971980868633
3,Sants - Montjuïc,2,2,74,3,1,2,0,2,0.0,2.1381811,41.357681,0.20000267265201932,0.7650847388191471
8,Nou Barris,1,1,21,5,4,1,0,3,9.0,2.1730404,41.4379243,1.0,0.5367971980868633
3,Sants - Montjuïc,2,1,47,2,4,1,0,3,7.0,2.1428189,41.3588507,0.2023165053351537,0.7650847388191471
5,Sarrià - Sant Gervasi,5,2,56,1,4,1,0,5,10.0,2.1209785,41.3954522,1.0,0.9710576839202464
2,Eixample,5,2,63,1,2,1,0,3,5.0,2.17663,41.3970158,0.8000424190672776,0.8878823968558166
3,Sants - Montjuïc,2,2,46,2,3,2,6,3,3.0,2.1369318,41.3757604,0.20297446301636685,0.7650847388191471
2,Eixample,3,2,80,3,3,1,0,1,0.0,2.175188,41.4076747,0.4000005754096721,0.8878823968558166
2,Eixample,3,1,69,3,2,1,0,2,3.0,2.1479514,41.382252,0.40000943738271005,0.8878823968558166
7,Horta - Guinardó,2,2,84,3,1,2,0,2,1.0,2.1577951,41.424433,0.2000001829035707,0.7287387223780619
8,Nou Barris,1,1,61,1,4,1,0,4,4.0,2.1796824,41.461832,1.0,0.5367971980868633
9,Sant Andreu,2,2,44,1,1,1,0,4,3.0,2.1854565,41.430824,1.0,0.6710875151380777
2,Eixample,3,1,64,3,2,1,0,4,3.0,2.1567074,41.3755774,1.0,0.8878823968558166
8,Nou Barris,1,2,59,2,3,1,0,3,8.0,2.1682091,41.4357384,0.00011528430894839752,0.5367971980868633
8,Nou Barris,1,1,34,1,1,1,0,5,8.0,2.1665656,41.4408038,1.0,0.5367971980868633
8,Nou Barris,1,2,63,3,2,1,0,5,4.0,2.1682091,41.4357384,1.0,0.5367971980868633
3,Sants - Montjuïc,2,1,76,3,3,1,0,5,8.0,2.1292609,41.3739117,1.0,0.7650847388191471
