"register_id","name","institution_id","institution_name","created","modified","addresses_roadtype_id","addresses_roadtype_name","addresses_road_id","addresses_road_name","addresses_start_street_number","addresses_end_street_number","addresses_neighborhood_id","addresses_neighborhood_name","addresses_district_id","addresses_district_name","addresses_zip_code","addresses_town","addresses_main_address","addresses_type","values_id","values_attribute_id","values_category","values_attribute_name","values_value","values_outstanding","values_description","secondary_filters_id","secondary_filters_name","secondary_filters_fullpath","secondary_filters_tree","secondary_filters_asia_id","geo_epgs_25831_x","geo_epgs_25831_y","geo_epgs_4326_x","geo_epgs_4326_y","estimated_dates","start_date","end_date"
"﻿99400632223","La Troca. Escola Comunitària de Formació Permanent",,,"2019-07-16T11:41:10+02:00","2021-04-08T10:30:49.777986+02:00",,,235208,"C Olzinelles",31,,18,"Sants",3,"Sants-Montjuïc",8014,"BARCELONA","True",,233343,20001,"Telèfons","Tel.",693034515,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"427805.40603670315","4580515.308616876","41.37291765088582","2.1366981790746196",,,
"﻿99400632223","La Troca. Escola Comunitària de Formació Permanent",,,"2019-07-16T11:41:10+02:00","2021-04-08T10:30:49.777986+02:00",,,235208,"C Olzinelles",31,,18,"Sants",3,"Sants-Montjuïc",8014,"BARCELONA","True",,233343,20001,"Telèfons","Tel.",693034515,"True",,56733070,"Informàtica","Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica",651,65103003002002,"427805.40603670315","4580515.308616876","41.37291765088582","2.1366981790746196",,,
"﻿92086028677","Centre de Formació de Persones Adultes El Clot",,,"1988-11-11T00:00:00+01:00","2023-11-06T13:01:52.983222+01:00",,,42306,"C Bilbao",214,,65,"el Clot",10,"Sant Martí",8018,"BARCELONA","True",,167494,20001,"Telèfons","Tel.",933075245,"True",,56733068,"Adults","Planol BCN >> Educació >> Ensenyament no reglat >> Adults",651,65103003002000,"432527.99425160966","4584791.018877053","41.41183758833183","2.192688914634337",,,
"﻿99400090280","Meca-Ràpid *Via Augusta",,,"2004-06-14T12:19:15+02:00","2022-09-17T06:18:06.313464+02:00",,,28000,"Via Augusta",164,,26,"Sant Gervasi - Galvany",5,"Sarrià-Sant Gervasi",8006,"BARCELONA","True",,210843,20001,"Telèfons","Tel.",932009119,"True",,56733070,"Informàtica","Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica",651,65103003002002,"428419.47144150914","4583445.459154294","41.39936326869713","2.143694173376436",,,
"﻿92086009415","The British Council-Institut Britànic",,,"1984-12-21T00:00:00+01:00","2021-11-08T12:57:02.319739+01:00",,,13909,"Carrer d'Amigó",83,,26,"Sant Gervasi - Galvany",5,"Sarrià-Sant Gervasi",8021,"Barcelona","True",,430564,20001,"Telèfons","Tel.","911 218 000","False",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"428234.94627819635","4583240.164117667","41.39749781020802","2.141511300780359",,,
"﻿99400250165","Bcn Languages Sagrada Família *València",,,"2010-07-01T00:00:00+02:00","2022-09-17T07:24:57.008937+02:00",,,350308,"C València",385,,6,"la Sagrada Família",2,"Eixample",8013,"BARCELONA","True",,223517,20001,"Telèfons","Tel.",932181382,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"430939.5559287313","4583575.313411751","41.40075322020053","2.173823645155928",,,
"﻿99400183864","Escola",75990347960,"Empresa Sage Logic Control","2007-05-22T00:00:00+02:00","2022-09-17T06:48:08.972665+02:00",,,100800,"C Diputació",303,,7,"la Dreta de l'Eixample",2,"Eixample",8009,"BARCELONA","True",,218459,20003,"Telèfons","Centraleta",934673011,"True",,56733070,"Informàtica","Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica",651,65103003002002,"430606.14535121416","4582687.637002693","41.39272950575135","2.1699371555080034",,,
"﻿92168165158","Centre de Formació de Persones Adultes Freire",,,"1986-05-09T00:00:00+02:00","2022-09-17T04:53:42.509649+02:00",,,120807,"Via Favència",254,,51,"Verdun",8,"Nou Barris",8042,"BARCELONA","True",,171667,20001,"Telèfons","Tel.",933534419,"True",,56733068,"Adults","Planol BCN >> Educació >> Ensenyament no reglat >> Adults",651,65103003002000,"431164.30275025376","4588441.083034298","41.44459674193996","2.1759581720892",,,
"﻿92086013896","Centre de Formació de Persones Adultes  Bon Pastor",,,"1985-07-03T00:00:00+02:00","2022-09-17T04:23:27.689347+02:00",,,321004,"C Sas",35,,59,"el Bon Pastor",9,"Sant Andreu",8030,"BARCELONA","True",,165072,20001,"Telèfons","Tel.",933117891,"True",,56733068,"Adults","Planol BCN >> Educació >> Ensenyament no reglat >> Adults",651,65103003002000,"433506.7211774168","4587668.521027527","41.437835960277084","2.204081977567532",,,
"﻿92086013897","Centre de Formació de Persones Adultes La Verneda",,,"1985-07-03T00:00:00+02:00","2022-09-17T04:23:27.844795+02:00",,,700023,"C Almacelles",1,,73,"la Verneda i la Pau",10,"Sant Martí",8020,"BARCELONA","True",,164736,20001,"Telèfons","Tel.",932781193,"True",,56733068,"Adults","Planol BCN >> Educació >> Ensenyament no reglat >> Adults",651,65103003002000,"433130.4101603315","4586000.768203793","41.4227837894168","2.199762482375375",,,
"﻿75990398831","Centre d'Estudis Aites",,,"1996-09-18T00:00:00+02:00","2023-10-03T10:15:45.875709+02:00",,,198804,"Av Paral.lel",158,,10,"Sant Antoni",2,"Eixample",8015,"BARCELONA","True",,153212,20001,"Telèfons","Tel.",934237600,"True",,56733068,"Adults","Planol BCN >> Educació >> Ensenyament no reglat >> Adults",651,65103003002000,"429528.516229348","4580754.007650266","41.37522026040864","2.1572731907491334",,,
"﻿75990398831","Centre d'Estudis Aites",,,"1996-09-18T00:00:00+02:00","2023-10-03T10:15:45.875709+02:00",,,198804,"Av Paral.lel",158,,10,"Sant Antoni",2,"Eixample",8015,"BARCELONA","True",,153212,20001,"Telèfons","Tel.",934237600,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"429528.516229348","4580754.007650266","41.37522026040864","2.1572731907491334",,,
"﻿75990062163","Escola Berlitz *Avinguda Diagonal",,,"1996-09-18T00:00:00+02:00","2023-10-03T10:43:49.618934+02:00",,,144601,"Av Diagonal",646,,19,"les Corts",4,"Les Corts",8017,"BARCELONA","True",,139240,20001,"Telèfons","Tel.",932804381,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"427623.75437839853","4582490.242303331","41.39068879288111","2.13429034648425",,,
"﻿1129162618","Master School of English *Sants",,,"2001-05-09T00:00:00+02:00","2023-01-20T14:11:01.647732+01:00",,,312400,"C Sants",136,,18,"Sants",3,"Sants-Montjuïc",8028,"BARCELONA","True",,132116,20001,"Telèfons","Tel.",933396376,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"427589.16007583105","4580812.002674236","41.37557043478222","2.1340771561375402",,,
"﻿75990170255","The Windsor Institute of Languages",,,"1996-09-18T00:00:00+02:00","2023-10-03T10:17:50.071426+02:00",,,169409,"G.V. Corts Catalanes",575,,8,"l'Antiga Esquerra de l'Eixample",2,"Eixample",8011,"BARCELONA","True",,145494,20001,"Telèfons","Tel.",934525340,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"429951.5558855159","4581858.747955558","41.38520723439293","2.1622038570414843",,,
"﻿1318155120","System Centres de Formació - Fabra i Puig",,,"2001-11-14T00:00:00+01:00","2022-09-17T02:32:39.673473+02:00",,,170907,"Jota",23,,44,"Vilapicina i la Torre Llobeta",8,"Nou Barris",8016,"BARCELONA","True",,133064,20001,"Telèfons","Tel.",933452861,"True",,56733070,"Informàtica","Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica",651,65103003002002,"431692.3219712365","4586746.921645078","41.42938315137674","2.182470050441236",,,
"﻿92086007341","Escola Professional de la Dona",99400069663,"Espai Francesca Bonnemaison","1987-11-24T00:00:00+01:00","2022-11-28T08:52:05.017889+01:00",,,31707,"C Sant Pere Més Baix",7,,4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",8003,"BARCELONA","True",,161632,20001,"Telèfons","Tel.",934049106,"True",,56733069,"Idiomes","Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes",651,65103003002001,"431090.83977256936","4582043.322388524","41.38696803670603","2.17580760715867",,,
"﻿92086007341","Escola Professional de la Dona",99400069663,"Espai Francesca Bonnemaison","1987-11-24T00:00:00+01:00","2022-11-28T08:52:05.017889+01:00",,,31707,"C Sant Pere Més Baix",7,,4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",8003,"BARCELONA","True",,161632,20001,"Telèfons","Tel.",934049106,"True",,56733070,"Informàtica","Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica",651,65103003002002,"431090.83977256936","4582043.322388524","41.38696803670603","2.17580760715867",,,
