name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_zip_code,phone_number,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,longitude,latitude,estimated_dates,tipo_centro
La Troca. Escola Comunitària de Formació Permanent,C Olzinelles,31,18,Sants,8014,693034515,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37291765088582,2.13669817907462,,no_reglat
La Troca. Escola Comunitària de Formació Permanent,C Olzinelles,31,18,Sants,8014,693034515,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.37291765088582,2.13669817907462,,no_reglat
Centre de Formació de Persones Adultes El Clot,C Bilbao,214,65,el Clot,8018,933075245,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.41183758833183,2.192688914634337,,no_reglat
Meca-Ràpid *Via Augusta,Via Augusta,164,26,Sant Gervasi - Galvany,8006,932009119,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39936326869713,2.143694173376436,,no_reglat
The British Council-Institut Britànic,Carrer d'Amigó,83,26,Sant Gervasi - Galvany,8021,911 218 000,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39749781020802,2.141511300780359,,no_reglat
Bcn Languages Sagrada Família *València,C València,385,6,la Sagrada Família,8013,932181382,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40075322020053,2.173823645155928,,no_reglat
Escola,C Diputació,303,7,la Dreta de l'Eixample,8009,934673011,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39272950575135,2.169937155508004,,no_reglat
Centre de Formació de Persones Adultes Freire,Via Favència,254,51,Verdun,8042,933534419,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.44459674193996,2.1759581720892,,no_reglat
Centre de Formació de Persones Adultes  Bon Pastor,C Sas,35,59,el Bon Pastor,8030,933117891,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.43783596027709,2.204081977567532,,no_reglat
Centre de Formació de Persones Adultes La Verneda,C Almacelles,1,73,la Verneda i la Pau,8020,932781193,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.4227837894168,2.199762482375375,,no_reglat
Centre d'Estudis Aites,Av Paral.lel,158,10,Sant Antoni,8015,934237600,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.37522026040864,2.1572731907491334,,no_reglat
Centre d'Estudis Aites,Av Paral.lel,158,10,Sant Antoni,8015,934237600,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37522026040864,2.1572731907491334,,no_reglat
Escola Berlitz *Avinguda Diagonal,Av Diagonal,646,19,les Corts,8017,932804381,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39068879288111,2.13429034648425,,no_reglat
Master School of English *Sants,C Sants,136,18,Sants,8028,933396376,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37557043478222,2.13407715613754,,no_reglat
The Windsor Institute of Languages,G.V. Corts Catalanes,575,8,l'Antiga Esquerra de l'Eixample,8011,934525340,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38520723439293,2.1622038570414843,,no_reglat
System Centres de Formació - Fabra i Puig,Jota,23,44,Vilapicina i la Torre Llobeta,8016,933452861,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.42938315137674,2.182470050441236,,no_reglat
Escola Professional de la Dona,C Sant Pere Més Baix,7,4,"Sant Pere, Santa Caterina i la Ribera",8003,934049106,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.38696803670603,2.17580760715867,,no_reglat
Escola Professional de la Dona,C Sant Pere Més Baix,7,4,"Sant Pere, Santa Caterina i la Ribera",8003,934049106,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.38696803670603,2.17580760715867,,no_reglat
Centre de Formació de Persones Adultes Palau de Mar,C Comte d'Urgell,187,9,la Nova Esquerra de l'Eixample,8036,932292130,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.38794811079514,2.148636664261424,,no_reglat
Centre de Formació de Persones Adultes Maria Rúbies,Rbla Raval,29,1,el Raval,8001,933103094,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.37860325209818,2.1699735143707626,,no_reglat
Escola d'Idiomes DinoCrocs *Bonanova,C Dalmases,81,25,Sant Gervasi - la Bonanova,8022,933154951,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40431420737963,2.131123622322749,,no_reglat
Institut Obert de Catalunya,Av Paral.lel,71,11,el Poble-sec,8004,933476100,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.37481357415832,2.168307428596343,,no_reglat
Institut Obert de Catalunya,Av Paral.lel,71,11,el Poble-sec,8004,933476100,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.37481357415832,2.168307428596343,,no_reglat
Institut Obert de Catalunya,Av Paral.lel,71,11,el Poble-sec,8004,933476100,Educació secundària,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,651,41.37481357415832,2.168307428596343,,no_reglat
Institut Obert de Catalunya,Av Paral.lel,71,11,el Poble-sec,8004,933476100,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.37481357415832,2.168307428596343,,no_reglat
Vèrtex,Riera de Sant Miquel,1,31,la Vila de Gràcia,8006,934153547,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.39667455775213,2.158163847833513,,no_reglat
Centre de Formació Professional Cruïlla,Avinguda d'Escolapi Càncer,4,54,Torre Baró,8033,,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.459583794975394,2.1805581491479247,,no_reglat
Centre de Formació Professional Cruïlla,Avinguda d'Escolapi Càncer,4,54,Torre Baró,8033,,Formació professional,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,651,41.459583794975394,2.1805581491479247,,no_reglat
Escola d'Idiomes DinoCrocs *Poblenou,Carrer de Marià Aguiló,1,68,el Poblenou,8005,933154951,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40431420737963,2.131123622322749,,no_reglat
Escola Àrea de Formació,Viladomat,174,9,la Nova Esquerra de l'Eixample,8015,934964500,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.383561820394064,2.152411330499391,,no_reglat
Escola Oficial d'Idiomes Barcelona III - Sant Gervasi,Av Príncep d'Astúries,23,27,el Putxet i el Farró,8012,932411633,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.40296155638927,2.1499138529317703,,no_reglat
Escola Oficial d'Idiomes Barcelona V - Sants,C Comtes de Bell-lloc,85,18,Sants,8014,936671894,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.380337628298,2.137368293468205,,no_reglat
Centre Tecnologia Educativa,Via Augusta,4,31,la Vila de Gràcia,8006,932177400,Informàtica,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,651,41.39626718081726,2.1555409488880586,,no_reglat
Escola Oficial d'Idiomes Barcelona - Guinardó,Av Mare Déu de Montserrat,78,33,el Baix Guinardó,8024,935542005,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.415027443450725,2.1668654355595542,,no_reglat
Idiomarum. School of Languages,Sepúlveda,145,10,Sant Antoni,8011,934539414,Idiomes,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,651,41.381965485161125,2.1606534781589453,,no_reglat
Centre de Formació de Persones Adultes Sants - Sant Raimon de Penyafort,Pg Zona Franca,56,13,la Marina de Port,8038,932233393,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651,41.35467726257315,2.143331259106856,,no_reglat
